payment_id,order_id,payment_date,amount,payment_method,status,transaction_id
PAY0001,ORD1001,2023-10-14,1588.47,credit_card,completed,TXN719176
PAY0002,ORD1002,2023-02-04,214.92,paypal,pending,TXN850800
PAY0003,ORD1003,2023-08-15,578.97,apple_pay,completed,TXN207175
PAY0004,ORD1004,2023-04-10,966.87,google_pay,completed,TXN182627
PAY0005,ORD1005,2024-10-05,369.97,paypal,completed,TXN205907
PAY0006,ORD1006,2024-04-11,526.50,credit_card,completed,TXN738720
PAY0007,ORD1007,2023-06-19,1196.48,google_pay,completed,TXN380746
PAY0008,ORD1008,2024-08-05,547.99,paypal,completed,TXN358607
PAY0009,ORD1009,2024-08-22,1076.97,paypal,completed,TXN930555
PAY0010,ORD1010,2024-02-04,1348.45,apple_pay,completed,TXN216970
PAY0011,ORD1011,2023-06-12,897.00,credit_card,completed,TXN755674
PAY0012,ORD1012,2023-06-08,359.94,google_pay,completed,TXN120422
PAY0013,ORD1013,2023-11-11,179.97,credit_card,completed,TXN867460
PAY0014,ORD1014,2024-07-03,856.90,google_pay,completed,TXN322086
PAY0015,ORD1015,2023-11-16,659.95,apple_pay,completed,TXN122056
PAY0016,ORD1016,2024-08-30,749.97,credit_card,completed,TXN340062
PAY0017,ORD1017,2023-12-09,1096.00,paypal,pending,TXN858490
PAY0018,ORD1018,2023-09-09,1477.96,credit_card,completed,TXN806073
PAY0019,ORD1019,2024-02-18,59.99,google_pay,completed,TXN246991
PAY0020,ORD1020,2023-10-13,539.97,credit_card,completed,TXN197793
PAY0021,ORD1021,2024-02-24,1377.97,apple_pay,completed,TXN543555
PAY0022,ORD1022,2023-06-13,339.46,apple_pay,completed,TXN159942
PAY0023,ORD1023,2024-05-30,119.99,credit_card,completed,TXN723939
PAY0024,ORD1024,2024-02-18,656.97,google_pay,pending,TXN789305
PAY0025,ORD1025,2023-09-27,828.97,credit_card,completed,TXN109767
PAY0026,ORD1026,2023-03-18,907.97,google_pay,completed,TXN974244
PAY0027,ORD1027,2024-09-22,1617.00,paypal,pending,TXN385577
PAY0028,ORD1028,2023-12-21,1288.95,apple_pay,completed,TXN146228
PAY0029,ORD1029,2023-05-14,749.94,credit_card,completed,TXN178898
PAY0030,ORD1030,2024-01-15,1125.49,credit_card,completed,TXN470858
